id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
18,UNODC - UN Office on Drugs and Crime,unodc.org,https://www.unodc.org/unodc/en/donors/index.html,UN Agency,Global,unknown,Primarily institutional,low,no
19,Asian Development Bank,adb.org,https://www.adb.org/work-with-us/funds/financing-partnership-facilities,Regional Dev Bank,Asia-Pacific,unknown,Research grants and co-financing; primarily institutional; ADB Ventures may be relevant,high,no
20,African Development Bank,afdb.org,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/fund-for-african-private-sector-assistance,Regional Dev Bank,Africa,unknown,Primarily institutional and government; some civil society windows,high,no
21,Inter-American Development Bank,iadb.org,https://iadb.org/en/how-we-are-funded/grants,Regional Dev Bank,Latin America & Caribbean,unknown,Research grants and innovation challenges; IDB Lab more accessible,high,no
22,IDB Lab (formerly MIF),labid.org,https://www.iadb.org/en/idblab,Regional Dev Bank - Innovation,Latin America & Caribbean,yes,Innovation accelerator arm of IDB; more accessible to individuals and startups,high,no
23,Islamic Development Bank,isdb.org,https://www.isdb.org/funding-opportunities,Regional Dev Bank,OIC Member States,unknown,IsDB Transforming Education through STEM grants; Science Prize open to individuals,high,no
24,European Bank for Reconstruction and Development,ebrd.com,https://www.ebrd.com/work-with-us/civil-society.html,Regional Dev Bank,Europe & Central Asia,unknown,Primarily institutional; civil society engagement grants,high,no
25,World Bank,worldbank.org,https://www.worldbank.org/en/programs/grants,Regional Dev Bank,Global,unknown,Development grants; primarily institutional; Open Data initiative,high,no
26,Asian Infrastructure Investment Bank,aiib.org,https://www.aiib.org/en/about-aiib/who-we-are/partnership/index.html,Regional Dev Bank,Asia,unknown,Infrastructure focus; primarily sovereign lending; limited grant windows,medium,no
27,New Development Bank,ndb.int,https://www.ndb.int/about-us/partnerships/,Regional Dev Bank,BRICS+,unknown,BRICS development bank; primarily institutional lending,medium,no
28,Caribbean Development Bank,caribank.org,https://www.caribank.org/our-work/grants,Regional Dev Bank,Caribbean,unknown,Caribbean-specific; grants available,medium,no
29,CAF - Development Bank of Latin America,caf.com,https://www.caf.com/en/topics/g/grants-and-donations/,Regional Dev Bank,Latin America,unknown,Development grants for LatAm; some civil society windows,medium,no
30,OPEC Fund for International Development,opecfund.org,https://opecfund.org/what-we-do/grants,Regional Dev Bank,Global - Developing Nations,unknown,Development focus; grant windows exist,medium,no
31,Arab Fund for Economic and Social Development,arabfund.org,https://www.arabfund.org/Default.aspx?pageId=2,Regional Dev Bank,Arab States,unknown,Arab world focus; primarily institutional,low,no
32,USAID,usaid.gov,https://www.usaid.gov/work-usaid/grant-contract-opportunities,Bilateral Aid,Global - USAID Partners,unknown,Grants.gov listings; wide range; individual eligibility varies significantly,high,no
33,UK FCDO - Foreign Commonwealth and Development Office,gov.uk,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office/about/research,Bilateral Aid,Global - UK Partners,unknown,Research and evidence programs; UK Aid Connect; some individual-accessible,high,no
34,GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit,giz.de,https://www.giz.de/en/workingwithgiz/3232.html,Bilateral Aid,Global - German Partners,unknown,German development cooperation; primarily institutional,high,no
35,IDRC - International Development Research Centre,idrc.ca,https://idrc.ca/en/funding,Bilateral Aid,Global - Research,yes,Canadian development research funder; explicitly funds individual researchers and teams; strong fit,high,no
36,DFAT - Australian Department of Foreign Affairs and Trade,dfat.gov.au,https://www.dfat.gov.au/development/grants-and-tenders,Bilateral Aid,Indo-Pacific,unknown,DFAT grants portal; primarily institutional but some individual windows,high,no
37,JICA - Japan International Cooperation Agency,jica.go.jp,https://www.jica.go.jp/english/our_work/contract_grants/index.html,Bilateral Aid,Global - JICA Partners,unknown,Japanese development cooperation; scholarships open to individuals,high,no
38,KOICA - Korea International Cooperation Agency,koica.go.kr,https://www.koica.go.kr/sites/koica_en/index.do,Bilateral Aid,Global - Korean Partners,unknown,Korean ODA; fellowship and scholarship programs,high,no
39,Sida - Swedish International Development Cooperation Agency,sida.se,https://www.sida.se/en/apply-for-grants,Bilateral Aid,Global - Swedish Partners,unknown,Research cooperation funding; some individual-eligible components,high,no
40,Norad - Norwegian Agency for Development Cooperation,norad.no,https://www.norad.no/en/front/funding/,Bilateral Aid,Global - Norwegian Partners,unknown,Open to civil society organizations; some research grants,high,no
41,AFD - Agence Française de Développement,afd.fr,https://www.afd.fr/en/ressources-acceder/calls-for-projects,Bilateral Aid,Global - French Partners,unknown,French development bank; primarily institutional,medium,no
42,SDC - Swiss Agency for Development and Cooperation,eda.admin.ch,https://www.eda.admin.ch/sdc/en/home/about-sdc/how-we-work/grants.html,Bilateral Aid,Global - Swiss Partners,unknown,Swiss development cooperation; civil society grants,medium,no
43,Irish Aid,irishaid.ie,https://www.irishaid.ie/funding/,Bilateral Aid,Global - Irish Partners,unknown,Irish development cooperation; civil society grants,medium,no
44,DFID / UK Research and Innovation - UKRI,ukri.org,https://www.ukri.org/opportunity/,Bilateral Aid / Research,UK + Global,yes,UKRI funds individual UK-based researchers; some global programs,high,no
45,Newton Fund - British Council,britishcouncil.org,https://www.britishcouncil.org/education/science/newton-fund,Bilateral Aid / Research,Global - Newton Countries,yes,Bilateral research partnerships; researcher mobility grants,high,no
46,NWO - Dutch Research Council,nwo.nl,https://www.nwo.nl/en/calls,National Research Council,Netherlands / Global,unknown,Netherlands; some international programs open to non-Dutch researchers,high,no
47,ANR - Agence Nationale de la Recherche,anr.fr,https://anr.fr/en/open-calls-and-preannouncements/,National Research Council,France / Global,unknown,French research council; primarily institutional but individual PIs eligible,high,no
48,DFG - Deutsche Forschungsgemeinschaft,dfg.de,https://www.dfg.de/en/research_funding/programmes/index.html,National Research Council,Germany / Global,yes,Individual researcher grants; Heisenberg Program; Emmy Noether; strong fit,high,no
49,NRF - National Research Foundation South Africa,nrf.ac.za,https://www.nrf.ac.za/funding-opportunities/,National Research Council,South Africa,yes,South African national funder; explicitly funds individual researchers,high,no
50,DST - Department of Science and Technology India,dst.gov.in,https://www.dst.gov.in/scientific-programmes/scientific-engineering-research,National Research Council,India,unknown,Indian government S&T funder; primarily for India-based researchers,high,no
51,SERB - Science and Engineering Research Board India,serb.gov.in,https://serb.gov.in/schemes.php,National Research Council,India,yes,Individual researcher grants; MATRICS; CRG; TARE schemes; strong fit,high,no
52,NRF - National Research Foundation Singapore,nrf.gov.sg,https://www.nrf.gov.sg/funding-grants,National Research Council,Singapore,unknown,Singapore-based researchers primarily; AI Singapore program,high,no
53,NRF - National Research Foundation of Korea,nrf.re.kr,https://www.nrf.re.kr/eng/main,National Research Council,South Korea,unknown,Korean national funder; primarily Korea-based researchers,high,no
54,JSPS - Japan Society for the Promotion of Science,jsps.go.jp,https://www.jsps.go.jp/english/index.html,National Research Council,Japan / Global,yes,Fellowships explicitly open to international researchers; JSPS Postdoc Fellowship; strong fit,high,no
55,NSTC - National Science and Technology Council Taiwan,nstc.gov.tw,https://www.nstc.gov.tw/folksonomy/detail/f7ae5d09-72db-42aa-b4e5-7c0b9f7d7d2a?l=en,National Research Council,Taiwan,unknown,Taiwan national funder; some international collaboration grants,medium,no
56,NSTDA - National Science and Technology Development Agency Thailand,nstda.or.th,https://www.nstda.or.th/en/,National Research Council,Thailand,unknown,Thai national S&T funder; AI research programs,medium,no
57,BRIN - National Research and Innovation Agency Indonesia,brin.go.id,https://www.brin.go.id/en/funding/,National Research Council,Indonesia,unknown,Merged Indonesian research agency; international collaboration opportunities,medium,no
58,DOST - Department of Science and Technology Philippines,dost.gov.ph,https://www.dost.gov.ph/funding-opportunities.html,National Research Council,Philippines,unknown,Philippine national S&T; individual researcher grants,medium,no
59,MOSTI - Ministry of Science Technology and Innovation Malaysia,mosti.gov.my,https://www.mosti.gov.my/en/,National Research Council,Malaysia,unknown,Malaysian S&T funder; primarily Malaysia-based,medium,no
60,PSF - Pakistan Science Foundation,psf.gov.pk,https://www.psf.gov.pk/,National Research Council,Pakistan,unknown,Pakistani national science funder; individual grants,medium,no
61,NSF Sri Lanka - National Science Foundation,nsf.gov.lk,https://www.nsf.gov.lk/research-grants/,National Research Council,Sri Lanka,unknown,Sri Lankan national funder; individual researcher grants,medium,no
62,NAST Nepal - Nepal Academy of Science and Technology,nast.gov.np,https://nast.gov.np/en/services/grants-scholarships,National Research Council,Nepal,unknown,Nepalese national science academy; fellowships,medium,gap
63,Vietnam MOST - Ministry of Science and Technology Vietnam,most.gov.vn,https://www.most.gov.vn/en/,National Research Council,Vietnam,unknown,Vietnamese S&T ministry; national research grants,medium,gap
64,CNPQ - Brazilian National Council for Scientific Research,cnpq.br,https://www.gov.br/cnpq/pt-br/acesso-a-informacao/acoes-e-programas,National Research Council,Brazil,yes,Strong track record funding individual researchers; international collaboration windows,high,no
65,ANID - Agencia Nacional de Investigación y Desarrollo Chile,anid.cl,https://anid.cl/convocatorias/,National Research Council,Chile,yes,Chilean national funder; individual and team grants; FONDECYT,high,no
66,CONICET - Consejo Nacional de Investigaciones Científicas Argentina,conicet.gov.ar,https://www.conicet.gov.ar/convocatorias/,National Research Council,Argentina,yes,Argentine national research council; individual researcher positions and grants,high,no
67,CONAHCYT - Consejo Nacional de Humanidades Ciencias y Tecnologías Mexico,conahcyt.mx,https://conahcyt.mx/convocatorias/,National Research Council,Mexico,yes,Mexican national science council; individual fellowship and grant programs,high,no
68,Minciencias - Ministry of Science Technology and Innovation Colombia,minciencias.gov.co,https://minciencias.gov.co/convocatorias,National Research Council,Colombia,yes,Colombian national science ministry; individual and team grants,high,no
69,CONCYTEC - Consejo Nacional de Ciencia Tecnología e Innovación Perú,concytec.gob.pe,https://concytec.gob.pe/convocatorias/,National Research Council,Peru,yes,Peruvian national science council; individual grants,high,no
70,SENESCYT - Secretaría de Educación Superior Ecuador,senescyt.gob.ec,https://www.senescyt.gob.ec/web/guest/becas-convocatorias,National Research Council,Ecuador,unknown,Ecuadorian higher education S&T; scholarship and research grants,medium,no
71,QNRF - Qatar National Research Fund,qnrf.org,https://www.qnrf.org/en-us/Funding/Research-Programs,National Research Council,Qatar,unknown,Qatar-based; NPRP grants; primarily Qatar-affiliated researchers,high,no
72,KFAS - Kuwait Foundation for the Advancement of Sciences,kfas.com,https://www.kfas.com/grants,National Research Council,Kuwait,unknown,Kuwait-based; Arab world focus; individual prize and grant components,high,no
73,TRC - The Research Council Oman,trc.gov.om,https://www.trc.gov.om/funding/,National Research Council,Oman,unknown,Oman-based; research grants for Oman-affiliated researchers,high,no
74,Jordan SRSF - Scientific Research Support Fund,srsf.gov.jo,https://www.srsf.gov.jo/En/Pages/FundingOpportunities.aspx,National Research Council,Jordan,unknown,Jordan-based research funding,medium,no
75,CNRST - Centre National pour la Recherche Scientifique et Technique Morocco,cnrst.ma,https://www.cnrst.ma/index.php/fr/appels-a-projets,National Research Council,Morocco,unknown,Moroccan national research centre; Arabic and French primary language,medium,gap
76,Egyptian STIFA - Science Technology and Innovation Funding Authority,stifa.sci.eg,https://stifa.sci.eg/,National Research Council,Egypt,unknown,Egyptian S&T funding authority; primarily Egyptian-affiliated researchers,medium,gap
77,Kenya NRF - National Research Fund,researchfund.go.ke,https://www.researchfund.go.ke/grants,National Research Council,Kenya,unknown,Kenyan national research fund; primarily Kenya-based researchers,medium,gap
78,NACOSTI Kenya - National Commission for Science Technology and Innovation,nacosti.go.ke,https://www.nacosti.go.ke/licensing-and-funding/,National Research Council,Kenya,unknown,Regulator and funder; licensing and grants,medium,gap
79,NRF Nigeria - National Research Fund via TETFund,tetfund.gov.ng,https://www.tetfund.gov.ng/index.php/research-and-development/ibr,National Research Council,Nigeria,unknown,Nigerian tertiary education trust fund; primarily institutional and affiliated researchers,medium,gap
80,Uganda UNCST - National Council for Science and Technology,uncst.go.ug,https://www.uncst.go.ug/research-grants/,National Research Council,Uganda,unknown,Ugandan science council; limited grant windows,medium,gap
81,Tanzania COSTECH - Commission for Science and Technology,costech.or.tz,https://www.costech.or.tz/grants/,National Research Council,Tanzania,unknown,Tanzanian science commission; East Africa focus,medium,gap
82,Rwanda MINEDUC / RDB Research,rdb.rw,https://www.rdb.rw/home/key-sectors/innovation-technology/,National Research Council,Rwanda,unknown,Rwanda Development Board; innovation and tech grants; check separately for research grants,medium,gap
83,Ethiopia MINT - Ministry of Innovation and Technology,mint.gov.et,https://www.mint.gov.et/,National Research Council,Ethiopia,unknown,Ethiopian innovation ministry; limited English-language grant portal,low,gap
84,Ghana Research and Innovation Fund,mesti.gov.gh,https://www.mesti.gov.gh/research-innovation-fund/,National Research Council,Ghana,unknown,Ghanaian research fund; primarily Ghana-based,medium,gap
85,NCST Zambia - National Council for Scientific Research,nstc.gov.zm,https://www.nstc.gov.zm/,National Research Council,Zambia,unknown,Zambian science council; limited public grant portal,low,gap
86,NCR Mozambique,mctes.gov.mz,https://www.mctes.gov.mz/,National Research Council,Mozambique,unknown,Portuguese-primary; limited English grant announcements,low,gap
87,Ministry of Science and Technology Bangladesh,most.gov.bd,https://most.gov.bd/site/page/fellowship-scholarship,National Research Council,Bangladesh,unknown,Bangladeshi S&T ministry; fellowship programs,medium,gap
88,Polish NCN - National Science Centre,ncn.gov.pl,https://www.ncn.gov.pl/en/finansowanie-nauki/programy-i-konkursy,National Research Council,Poland,yes,Polish national funder; MINIATURA and OPUS open to individuals; international collaboration windows,high,no
89,Czech GACR - Grant Agency of the Czech Republic,gacr.cz,https://gacr.cz/en/,National Research Council,Czech Republic,yes,Czech research funder; individual researcher grants,high,no
90,Slovak APVV - Slovak Research and Development Agency,apvv.sk,https://www.apvv.sk/en.html,National Research Council,Slovakia,yes,Slovak research agency; bilateral projects,medium,no
91,Georgian GNSF - Georgian National Science Foundation,gnsf.ge,https://rustaveli.org.ge/index.php/en/,National Research Council,Georgia,yes,Georgian Shota Rustaveli Foundation; individual researcher grants; international programs,medium,gap
92,Armenian Science Committee,sci.am,https://www.sci.am/en/,National Research Council,Armenia,unknown,Armenian science funder; limited English portal,medium,gap
93,Mozilla Foundation,foundation.mozilla.org,https://foundation.mozilla.org/en/what-we-fund/,Global Philanthropic,Global,yes,Tech fellowship and grant programs; Mozilla Technology Fund; individual-eligible; strong fit,high,no
94,Open Society Foundations,opensocietyfoundations.org,https://www.opensocietyfoundations.org/grants,Global Philanthropic,Global,unknown,Democracy and human rights focus; primarily institutional; some individual fellowships,high,no
95,Wellcome Trust,wellcome.org,https://wellcome.org/grant-funding,Global Philanthropic,Global,yes,Health research funding; open to individual researchers; Discovery Awards,high,no
96,Rockefeller Foundation,rockefellerfoundation.org,https://www.rockefellerfoundation.org/grants/,Global Philanthropic,Global,unknown,Primarily institutional; Bellagio Center residency open to individuals,high,no
97,Ford Foundation,fordfoundation.org,https://www.fordfoundation.org/work/our-grants/,Global Philanthropic,Global,unknown,Primarily institutional; no direct individual grant applications,high,no
98,MacArthur Foundation,macfound.org,https://www.macfound.org/programs/,Global Philanthropic,Global,unknown,Primarily institutional; 100&Change competition; Fellows Program (nomination only),high,no
99,Omidyar Network,omidyar.com,https://omidyar.com/our-approach/,Global Philanthropic,Global,unknown,Primarily institutional; no open grant calls; proactive funding,high,no
100,Hewlett Foundation,hewlett.org,https://hewlett.org/grants/,Global Philanthropic,Global,unknown,Primarily institutional; no open individual applications,high,no
101,Luminate,luminategroup.com,https://luminategroup.com/funding,Global Philanthropic,Global,unknown,Civic tech and transparency; primarily institutional; some civil society,high,no
102,Patrick J. McGovern Foundation,mcgovern.org,https://www.mcgovern.org/apply/,Global Philanthropic,Global,unknown,Data and AI for social good; relationship-driven; limited open calls; strong thematic fit,high,no
103,Schmidt Sciences,schmidtsciences.org,https://www.schmidtsciences.org/funding-opportunities/,Global Philanthropic,Global,yes,AI in science fellowship; Schmidt AI in Science Fellows program; individual-eligible,high,no
104,Skoll Foundation,skoll.org,https://skoll.org/about/how-we-work/,Global Philanthropic,Global,unknown,Social entrepreneurship focus; primarily nomination/institutional,high,no
105,Oak Foundation,oakfnd.org,https://oakfnd.org/what-we-fund/,Global Philanthropic,Global,unknown,Primarily institutional organizations; no open individual applications,medium,no
106,Open Philanthropy,openphilanthropy.org,https://www.openphilanthropy.org/how-to-apply/,Global Philanthropic,Global,yes,CDTF and Capacity Building open to individuals; rolling; strong fit,high,no
107,Sloan Foundation,sloan.org,https://sloan.org/grants/apply,Global Philanthropic,Global,unknown,STEM and economics of higher education; primarily institutional,medium,no
108,Carnegie Corporation of New York,carnegie.org,https://www.carnegie.org/grants/,Global Philanthropic,Global,unknown,Education and democracy; primarily institutional; invitation-only,medium,no
109,Long-Term Future Fund (LTFF),funds.effectivealtruism.org,https://funds.effectivealtruism.org/funds/far-future,EA-Adjacent,Global,yes,Explicitly funds individuals; fast; no affiliation required; rolling; strong fit,high,no
110,EA Infrastructure Fund,funds.effectivealtruism.org,https://funds.effectivealtruism.org/funds/ea-community,EA-Adjacent,Global,yes,EA community building and infrastructure; individual-eligible; rolling,high,no
111,Survival and Flourishing Fund,survivalandflourishing.fund,https://survivalandflourishing.fund/,EA-Adjacent,Global,yes,Existential risk and AI safety; individual-eligible; semi-annual regrants,high,no
112,Manifund - Regrants,manifund.org,https://manifund.org/,EA-Adjacent,Global,yes,Fast regrant platform; individual-eligible; $1,000–$50,000 range; strong fit,high,no
113,Future of Life Institute,futureoflife.org,https://futureoflife.org/grant-programs/,AI Safety,Global,yes,AI safety and existential risk grants; individual-eligible components; strong fit,high,no
114,Apart Research,apartresearch.com,https://www.apartresearch.com/grants,AI Safety - Research,Global,yes,Sprint and hackathon grants; individual-eligible; AI safety focus; up to $2,000,high,no
115,Center for AI Safety,safe.ai,https://safe.ai/,AI Safety,Global,unknown,AI safety research; primarily fellowships and institutional; check for individual programs,high,no
116,Alignment Research Center,alignment.org,https://www.alignment.org/,AI Safety,Global,unknown,Technical AI alignment; primarily institutional research,medium,no
117,Emergent Ventures,mercatus.org,https://www.mercatus.org/emergent-ventures,Fast Grants,Global,yes,Fast individual grants; $5,000–$100,000; low bureaucracy; strong fit,high,no
118,Horizon Europe,ec.europa.eu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,EU Research,EU + Associated Countries,yes,European Research Council grants open to individual PIs; ERC Starting/Consolidator/Advanced,high,no
119,ERC - European Research Council,erc.europa.eu,https://erc.europa.eu/apply-grant,EU Research,EU + Associated Countries,yes,Individual researcher excellence grants; Starting/Consolidator/Advanced/Synergy,high,no
120,Marie Skłodowska-Curie Actions,ec.europa.eu,https://marie-sklodowska-curie-actions.ec.europa.eu/,EU Research,EU + Global,yes,Individual researcher mobility fellowships; open globally for postdoctoral fellows; strong fit,high,no
121,Alexander von Humboldt Foundation,humboldt-foundation.de,https://www.humboldt-foundation.de/en/apply,Academic Fellowship,Global,yes,Individual researcher fellowships; international scholars welcome; strong fit,high,no
122,Fulbright Program,fulbright.gov,https://www.fulbright.gov/,Academic Fellowship,Global,yes,US government individual exchange fellowship; 160+ country programs; strong fit,high,no
123,British Academy,britac.ac.uk,https://www.thebritishacademy.ac.uk/funding/,Academic Fellowship,UK / Global,yes,Individual researcher grants; international programs; Newton International Fellowships,high,no
124,Leverhulme Trust,leverhulme.ac.uk,https://www.leverhulme.ac.uk/funding/,Academic Fellowship,UK / Global,yes,Individual researcher funding; Leverhulme Early Career Fellowships,high,no
125,DAAD - German Academic Exchange Service,daad.de,https://www.daad.de/en/find-funding/,Academic Fellowship,Global,yes,Individual mobility and research fellowships; widely accessible globally; strong fit,high,no
126,Japan Foundation,jpf.go.jp,https://www.jpf.go.jp/e/program/index.html,Cultural Diplomacy / Research,Global,yes,Cultural exchange and Japan-related research; individual-eligible,high,no
127,Korea Foundation,kf.or.kr,https://www.kf.or.kr/kfen/pgm/pPgmList.do,Cultural Diplomacy / Research,Global,yes,Korea-related research fellowships; individual-eligible,medium,no
128,Sasakawa Peace Foundation,spf.org,https://www.spf.org/en/programs/grants.html,Regional Philanthropic,Asia-Pacific,unknown,Japan-based; Asia-Pacific peace and development; primarily institutional,medium,no
129,Nippon Foundation,nippon-foundation.or.jp,https://www.nippon-foundation.or.jp/en/grant_application/,Regional Philanthropic,Asia-Pacific,yes,Grants for ocean, disability, and social development; some individual-accessible programs,high,no
130,Aga Khan Foundation,akdn.org,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,Regional Philanthropic,Global South,yes,International Scholarship Programme for postgraduate students from developing countries; individual-eligible,high,no
131,Asia Foundation,asiafoundation.org,https://asiafoundation.org/what-we-do/grants/,Regional Philanthropic,Asia,unknown,Asia-focused civil society grants; primarily institutional,high,no
132,East-West Center,eastwestcenter.org,https://www.eastwestcenter.org/research/fellowships-and-grants,Regional Philanthropic,Asia-Pacific,yes,US-Asia Pacific research fellowships; individual-eligible; strong fit,high,no
133,Mastercard Foundation,mastercardfdn.org,https://mastercardfdn.org/funding/,Regional Philanthropic,Africa,unknown,Africa focus; primarily institutional; Scholars Program administered through universities,high,no
134,Tony Elumelu Foundation,tonyelumelufoundation.org,https://www.tonyelumelufoundation.org/tef-program/apply/,Regional Philanthropic,Africa,yes,African entrepreneurship; individual-eligible; $5,000 seed capital; strong fit,high,no
135,Mo Ibrahim Foundation,mo.ibrahim.foundation,https://mo.ibrahim.foundation/,Regional Philanthropic,Africa,yes,Ibrahim Prize (nomination-only) and Ibrahim Fellowship; individual-eligible components,high,no
136,Tata Trusts,tatatrusts.org,https://www.tatatrusts.org/our-work/grants,Regional Philanthropic,India,unknown,India-focused; primarily institutional; some fellowship components,high,no
137,Azim Premji Foundation,azimpremjifoundation.org,https://azimpremjiuniversity.edu.in/research-grants,Regional Philanthropic,India,unknown,India-focused education and poverty; primarily institutional,medium,no
138,J-PAL - Abdul Latif Jameel Poverty Action Lab,povertyactionlab.org,https://www.povertyactionlab.org/funding,Research Network,Global,yes,Research funding for affiliated and independent researchers; individual PIs eligible,high,no
139,BRAC,brac.net,https://www.brac.net/research/,NGO / Research,South Asia + Africa,unknown,Largest NGO globally; research partnerships; primarily institutional,medium,no
140,GPAI - Global Partnership on AI,gpai.ai,https://gpai.ai/projects/,AI Governance,Global,unknown,Intergovernmental AI governance; project funding primarily institutional/national,high,no
141,OECD.AI Policy Observatory,oecd.ai,https://oecd.ai/en/,AI Governance,Global,unknown,Data and policy; not a grant maker per se; but hosts opportunities and partnerships,high,no
142,Partnership on AI,partnershiponai.org,https://partnershiponai.org/fellowships/,AI Governance,Global,yes,Fellows program; individual-eligible; AI safety and governance focus; strong fit,high,no
143,AI Safety Fund,aisafetyfund.org,https://www.aisafetyfund.org/,AI Safety,Global,unknown,Frontier AI safety research; check for individual vs institutional,medium,no
144,Google.org,google.org,https://www.google.org/our-work/,Tech Philanthropic,Global,unknown,AI for Social Good challenges; primarily institutional; Google.org Fellows program,high,no
145,Microsoft AI for Good Lab,microsoft.com,https://www.microsoft.com/en-us/ai/ai-for-good,Tech Philanthropic,Global,unknown,Azure compute grants; primarily organizations; AI for Health research grants,high,no
146,Meta AI for Social Impact,meta.com,https://socialimpact.facebook.com/,Tech Philanthropic,Global,unknown,Primarily NGO-focused; community grants; not primarily research,medium,no
147,Novo Nordisk Foundation,novonordiskfonden.dk,https://novonordiskfonden.dk/en/grants/,Health Research,Global,yes,Health and sustainability research; individual researcher grants; strong in Nordic/Europe,high,no
148,Bloomberg Philanthropies,bloomberg.org,https://www.bloomberg.org/public-health/,Global Philanthropic,Global,unknown,Public health and cities; primarily institutional,medium,no
149,Gavi - Vaccine Alliance,gavi.org,https://www.gavi.org/investing-gavi/innovative-financing,Health / Development,Global,unknown,Vaccine and health system focus; primarily institutional,medium,no
150,Gates Foundation - Grand Challenges,grandchallenges.org,https://grandchallenges.org/explorations,Global Philanthropic,Global,yes,Grand Challenges Explorations open to individuals; strong fit; $100,000 seed grants,high,no
151,CIFAR,cifar.ca,https://cifar.ca/fellowships-and-grants/,Research Network,Canada / Global,yes,AI and complexity research; Azrieli Global Scholars; individual-eligible; strong fit,high,no
152,Allen Institute for AI (AI2),allenai.org,https://allenai.org/get-involved,AI Research,Global,unknown,Research partnerships; primarily institutional collaboration,medium,no
153,Alan Turing Institute,turing.ac.uk,https://www.turing.ac.uk/work-turing/fellowships,AI Research,UK / Global,yes,Turing Fellows program; individual-eligible; strong UK bias,high,no
154,Schwartz Reisman Institute,srinstitute.utoronto.ca,https://srinstitute.utoronto.ca/programs,AI Governance,Canada / Global,unknown,Toronto-based AI governance; fellowships and research programs,medium,no
155,Montreal AI Ethics Institute,montrealethics.ai,https://montrealethics.ai/get-involved/,AI Ethics,Global,unknown,AI ethics research; primarily community and publication; small grant windows,medium,no
156,AI Now Institute,ainowinstitute.org,https://ainowinstitute.org/,AI Governance,US / Global,unknown,AI accountability; primarily research and advocacy; fellowship components,medium,no
157,Humanity AI Initiative,humanityai.ai,https://humanityai.ai/,AI Governance,Global,unknown,$500M pooled fund (Ford/MacArthur/Mozilla/Omidyar/Mellon/Packard); primarily institutional; register for updates,high,no
