id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
331,Thousand Currents (formerly IDEX),thousandcurrents.org,https://thousandcurrents.org/our-grantees/,Community Fund,Global South,yes,Funds grassroots movements in Global South; individual leaders and small organizations; deeply under-indexed; strong fit,high,no
332,Hivos - Humanist Institute for Cooperation,hivos.org,https://hivos.org/programs/,International NGO / Civil Society,Global South - Middle East + Africa + Asia,yes,Netherlands-based; active open calls for individuals and small organizations; MENA/Africa/Asia focus; confirmed active,high,no
333,Both ENDS,bothends.org,https://www.bothends.org/en/What-we-do/Grants/,International NGO / Environment,Global South,yes,Netherlands-based; environmental and social justice small grants; Global South civil society; individual and group eligible,high,no
334,CcHUB - Co-creation Hub Nigeria,cchubnigeria.com,https://cchubnigeria.com/programs/,Tech Innovation Hub,Nigeria / Africa,yes,Nigeria's leading tech hub; research grants and innovation fellowships; individual developers and researchers eligible; strong fit,high,no
335,MEST Africa,mestafrika.com,https://mestafrika.com/apply/,Tech Innovation Hub,Ghana / Africa,yes,Ghana-based pan-African tech entrepreneurship program; individual fellowship + seed funding; strong fit,high,no
336,Norrsken East Africa,norrsken.org,https://www.norrsken.org/east-africa,Tech Innovation Hub,East Africa,yes,Sweden-backed innovation hub in Kigali; grants and accelerator for tech entrepreneurs; individual-eligible,high,no
337,Impact Hub Network - Africa,impacthub.net,https://impacthub.net/become-a-member/,Innovation Hub Network,Africa (Nairobi / Lagos / Accra / Johannesburg / Kigali / Dar es Salaam),yes,Global network with active African hubs; innovation grants and fellowships; individual entrepreneurs and researchers; check each city hub separately,high,no
338,ActivSpaces Cameroon,activspaces.com,https://activspaces.com/programs/,Tech Innovation Hub,Cameroon / Central Africa,yes,Central Africa's leading tech hub; grants and fellowships for tech innovators; individual-eligible; deeply under-indexed,high,no
339,Outbox Uganda,outbox.co.ug,https://outbox.co.ug/programs/,Tech Innovation Hub,Uganda,yes,Kampala-based tech hub; research and innovation grants; individual developers eligible; under-indexed,high,no
340,African Climate Foundation,africanclimatefoundation.org,https://africanclimatefoundation.org/apply/,Climate Fund,Africa,yes,Africa-based; climate research and advocacy grants; African researchers and civil society; individual-eligible; under-indexed; strong fit,high,no
341,Inter-American Foundation (IAF),iaf.gov,https://www.iaf.gov/grants/,Community Fund,Latin America & Caribbean,yes,US government agency; grassroots development grants for Latin American/Caribbean community organizations; individual innovators with local partners,high,no
342,Avina Foundation,avina.net,https://www.avina.net/convocatorias/,Community Fund,Latin America,yes,Latin American civil society foundation; individual leaders and organizations; active grant calls; under-indexed; strong fit,high,no
343,CLAD - Centro Latinoamericano de Administración para el Desarrollo,clad.org,https://www.clad.org/convocatorias/,Research Network,Latin America,yes,Public administration research; individual researcher grants and essay competitions; LatAm focus; under-indexed,medium,no
344,Startup Chile,startupchile.org,https://www.startupchile.org/programs/,Innovation Program,Chile / LatAm,yes,Chilean government; individual entrepreneurs; equity-free seed grants; explicitly individual-eligible; strong fit,high,no
345,CORFO Chile Innovation Grants,corfo.cl,https://www.corfo.cl/sites/cpp/convocatorias,National Innovation Fund,Chile,yes,Chilean government development corporation; individual and team innovation grants; active cycles,high,no
346,iNNOVATE Peru - Startup Peru,innovateperu.gob.pe,https://innovateperu.gob.pe/convocatorias/,Innovation Program,Peru,yes,Peruvian government; individual entrepreneurs and researchers; equity-free grants; individual-eligible; under-indexed,high,no
347,Wayra - Telefonica Open Future LatAm,wayra.com,https://wayra.com/open-calls/,Tech Innovation,Latin America,yes,Telefonica's innovation arm; open calls for individual tech founders across LatAm; small grants and resources; active calls,medium,no
348,Fundar Mexico,fundar.org.mx,https://fundar.org.mx/convocatorias/,Research / Civil Society,Mexico,yes,Mexican research and analysis center; small research grants and fellowships; individual researchers; under-indexed,high,no
349,Instituto Clima e Sociedade (iCS),institutoclima.org.br,https://institutoclima.org.br/convocatorias/,Climate Research Fund,Brazil,yes,Brazil-based; climate and social research grants; individual researchers and small organizations; under-indexed; strong fit,high,no
350,RedLAC - Latin American and Caribbean Environmental Funds Network,redlac.org,https://www.redlac.org/convocatorias/,Environmental Fund Network,Latin America & Caribbean,unknown,Network of regional environmental funds across LatAm/Caribbean; individual member funds post their own calls; strong source discovery tool; crawl member fund pages,high,no
351,Amazon Conservation Association,amazonconservation.org,https://www.amazonconservation.org/grants/,Environmental Fund,Amazon Region,yes,Amazon basin research and conservation grants; individual researchers eligible; under-indexed,medium,no
352,Asfari Foundation,asfarifoundation.org,https://www.asfarifoundation.org/grants/,Community Foundation,Syria / Lebanon / Arab World,yes,Syria and Lebanon focus; arts and social research grants; individual-eligible; active despite regional crisis; deeply under-indexed,high,no
353,Arab Human Rights Fund (AHRF),arabhumanrightsfund.org,https://www.arabhumanrightsfund.org/grants/,Civil Society Fund,Arab World,yes,Arab human rights defenders; small and rapid-response grants; individual-eligible; deeply under-indexed; strong fit,high,no
354,A.M. Qattan Foundation,qattanfoundation.org,https://www.qattanfoundation.org/en/grants,Community Foundation,Palestine / Arab World,yes,Palestinian-origin; arts, education and research grants; individual-eligible; active despite regional context; deeply under-indexed,high,no
355,Welfare Association Palestine,welfare-association.org,https://www.welfare-association.org/grants/,Community Fund,Palestine,yes,Palestinian development and social grants; individual and community organization grants; deeply under-indexed,high,no
356,Heinrich Böll Foundation - Regional Offices,boell.de,https://www.boell.de/en/grants,Political Foundation / Civil Society,Global - Multiple Regions,yes,German political foundation; regional offices across Africa/Asia/LatAm/MENA each post their own grant calls; individual researchers and activists; explore each regional office separately,high,no
357,Friedrich-Ebert-Stiftung (FES) - Regional Offices,fes.de,https://www.fes.de/en/,Political Foundation / Civil Society,Global - Multiple Regions,yes,German social-democratic foundation; 100+ country offices; each posts own small grants; civil society and individual researchers; explore each country office; deeply under-indexed at country level,high,no
358,Friedrich Naumann Foundation - Regional Offices,freiheit.org,https://www.freiheit.org/grant-funding,Political Foundation / Civil Society,Global - Multiple Regions,yes,German liberal foundation; regional offices in Africa/Asia/LatAm/MENA; small grants for civil society and individual researchers; under-indexed at country level,high,no
359,Konrad-Adenauer-Stiftung (KAS) - Regional Offices,kas.de,https://www.kas.de/en/grants,Political Foundation / Civil Society,Global - Multiple Regions,yes,German Christian-democratic foundation; regional offices globally; small grants and fellowships; civil society and individual researchers; under-indexed at country level,high,no
360,Caucasus Research Resource Centers (CRRC),crrc.ge,https://crrc.ge/grants/,Research Network,South Caucasus,yes,Georgia/Armenia/Azerbaijan; small research grants for South Caucasus researchers; individual-eligible; deeply under-indexed; strong fit,high,no
361,Black Sea Trust for Regional Cooperation,gmfus.org,https://www.gmfus.org/black-sea-trust,Community Fund,Black Sea Region,yes,GMF program; small civil society and research grants across Black Sea countries; individual-eligible; under-indexed,high,no
362,Stefan Batory Foundation,batory.org.pl,https://www.batory.org.pl/en/grants/,Community Foundation,Poland / Central-Eastern Europe,yes,Polish community foundation; civil society and research grants; Central European focus; individual-eligible; under-indexed,high,no
363,Urgent Action Fund - Latin America,urgentactionfund-latinamerica.org,https://urgentactionfund-latinamerica.org/apply/,Rapid Response Fund,Latin America,yes,Rapid-response grants for women human rights defenders in LatAm; individual-eligible; fast turnaround; deeply under-indexed,high,no
364,Urgent Action Fund - Asia and Pacific,urgentactionfund-asiapacific.org,https://urgentactionfund-asiapacific.org/apply/,Rapid Response Fund,Asia & Pacific,yes,Rapid-response grants for women human rights defenders in Asia-Pacific; individual-eligible; fast turnaround; deeply under-indexed,high,no
365,CIVICUS - World Alliance for Citizen Participation,civicus.org,https://civicus.org/index.php/what-we-do/defend/civil-society-defence-fund,Civil Society Fund,Global,yes,Civil society defense fund; emergency and rapid-response grants for civil society under threat; individual-eligible; strong fit,high,no
366,Front Line Defenders,frontlinedefenders.org,https://www.frontlinedefenders.org/en/programme/grants,Rapid Response Fund,Global,yes,Emergency grants for human rights defenders; individual-eligible; rapid response; deeply under-indexed for researchers working on sensitive topics,high,no
367,Global Fund for Human Rights,globalfundforhumanrights.org,https://globalfundforhumanrights.org/apply/,Civil Society Fund,Global South,yes,Human rights grants to organizations and individuals in underrepresented regions; individual-eligible; small to mid grants; under-indexed,high,no
368,ACT Alliance - Action by Churches Together,actalliance.org,https://actalliance.org/funding/,Faith-Based Development,Global South,unknown,Ecumenical humanitarian and development; member organizations post own grant calls; useful source for faith-based grant windows in Global South,medium,no
369,Islamic Relief Worldwide Research Grants,islamic-relief.org,https://www.islamic-relief.org/research/,Faith-Based Development / Research,Muslim-majority Global South,yes,Humanitarian and development research grants; researcher grants for OIC-country contexts; individual-eligible; under-indexed; strong fit,high,no
370,Tearfund Research Grants,tearfund.org,https://www.tearfund.org/about-us/how-we-work/research-and-grants,Faith-Based Development / Research,Global South,yes,Christian international development; research grants and fellowships; individual researchers; Global South focus; under-indexed,high,no
371,Christian Aid Research Fund,christianaid.org.uk,https://www.christianaid.org.uk/about-us/jobs-and-volunteering/research,Faith-Based Development / Research,Global South,yes,UK-based; research grants for development-focused work in Global South; individual researchers; under-indexed,medium,no
372,DanChurchAid,danchurchaid.org,https://www.danchurchaid.org/partner-with-us/call-for-proposals,Faith-Based Development,Global South,yes,Danish development NGO; civil society and research grants; Global South organizations and individual researchers; under-indexed,medium,no
373,Norwegian Church Aid,kirkensnodhjelp.no,https://www.kirkensnodhjelp.no/en/partner-with-us/grants/,Faith-Based Development,Global South,yes,Norwegian development NGO; research and civil society grants; Global South focus; individual-eligible; under-indexed,medium,no
374,Bread for the World Institute,bread.org,https://www.bread.org/article/grants/,Faith-Based Research,Global South Focus,yes,US-based; hunger and poverty research grants; individual researchers and advocacy organizations; Global South focus; under-indexed,medium,no
375,American University of Beirut Research Grants,aub.edu.lb,https://www.aub.edu.lb/research/Pages/funding.aspx,University Research Fund,Lebanon / MENA,yes,AUB university research grants; individual faculty and researchers; MENA-based institution; active cycles; under-indexed outside MENA,high,no
376,American University in Cairo Research Grants,aucegypt.edu,https://www.aucegypt.edu/research/grants,University Research Fund,Egypt / MENA,yes,AUC research grants; individual researchers; MENA-based; under-indexed outside MENA,high,no
377,Makerere Institute of Social Research (MISR),misr.mak.ac.ug,https://www.misr.mak.ac.ug/fellowships,University Research Fund,Uganda / East Africa,yes,Uganda-based; social science fellowships; individual researchers; East Africa focus; deeply under-indexed,high,no
378,African Population and Health Research Center (APHRC),aphrc.org,https://aphrc.org/fellowships/,Research Institute,Africa,yes,Nairobi-based; postdoctoral and visiting scholar fellowships; African researchers; individual-eligible; active cycles; under-indexed,high,no
379,IMAZON - Instituto do Homem e Meio Ambiente da Amazônia,imazon.org.br,https://imazon.org.br/publicacoes/,Research Institute,Brazil / Amazon,yes,Amazon research institute; small research grants and fellowships; individual researchers; Brazil/LatAm focus; under-indexed,medium,no
380,Centre for Internet and Society India (CIS),cis-india.org,https://cis-india.org/internet-governance/grants,Research Institute,India,yes,India-based; internet governance and digital rights research grants; individual researchers; under-indexed; strong fit with AI governance angle,high,no
381,IT for Change India,itforchange.net,https://itforchange.net/grants,Research Institute / Civil Society,India,yes,India-based; digital rights and technology policy research grants; individual researchers; under-indexed; strong fit,high,no
382,Foundation for Ecological Security (FES India),fes.org.in,https://www.fes.org.in/grants.html,Community Fund,India,yes,India-based community land and ecology grants; individual researchers and community groups; under-indexed,medium,no
383,Deshpande Foundation Hubli Sandbox,deshpandefoundation.org,https://www.deshpandefoundation.org/what-we-do/hubli-sandbox,Innovation Fund,India,yes,India-based innovation and social enterprise grants; individual entrepreneurs; under-indexed; strong fit,high,no
384,Digital Empowerment Foundation India,defindia.org,https://defindia.org/grants/,Digital Rights Fund,India,yes,India-based; digital literacy and rights research grants; grassroots and individual organizations; under-indexed,medium,no
385,Startup India Seed Fund,startupindia.gov.in,https://seedfund.startupindia.gov.in/,National Innovation Fund,India,yes,Indian government; equity-free seed grants for individual startups and researchers; individual-eligible; active cycles,high,no
386,ANSA-EAP - Affiliated Network for Social Accountability in East Asia and the Pacific,ansa-eap.net,https://www.ansa-eap.net/grants/,Civil Society Network,Southeast Asia & Pacific,yes,Philippines-based; social accountability grants; civil society and individual researchers; Southeast Asia focus; under-indexed,medium,no
387,Philippine Business for Social Progress (PBSP),pbsp.org.ph,https://www.pbsp.org.ph/grants,Community Fund,Philippines,yes,Philippines-based; community development and research grants; individual organizations and researchers; under-indexed,medium,no
388,Heinrich Böll Foundation Southeast Asia,boell.de,https://th.boell.org/en/grants,Political Foundation / Civil Society,Southeast Asia (Thailand office),yes,Southeast Asia regional office; small grants for civil society and individual researchers; active calls; under-indexed,high,no
389,Community Technology Empowerment Network (CTEN) Nepal,cten.org.np,https://www.cten.org.np/grants,Community Tech Fund,Nepal,yes,Nepal-based; community technology and digital rights grants; individual and community groups; under-indexed; strong fit,medium,gap
390,Asian Institute of Technology Fellowships,ait.ac.th,https://www.ait.ac.th/research/research-funding/,Academic Research,Southeast Asia,yes,Thailand-based; regional research fellowships and grants; individual researchers; Southeast Asia focus; under-indexed,high,no
391,Pacific Community Foundation,pacificcommunityfoundation.org,https://www.pacificcommunityfoundation.org/grants,Community Foundation,Pacific Islands,yes,Pacific-based community foundation; small grants for Pacific communities and researchers; individual-eligible; deeply under-indexed,high,gap
392,SPREP Small Grants,sprep.org,https://www.sprep.org/funding-and-grants/small-grants,Environmental Fund,Pacific Islands,yes,Pacific environment small grants; community and individual researchers; under-indexed; strong fit,high,no
393,Foundation of the Peoples of the South Pacific International (FSPI),fspi.org.fj,https://www.fspi.org.fj/grants/,Community Foundation,Pacific Islands,yes,Fiji-based; Pacific community development grants; individual and community groups; deeply under-indexed,high,gap
394,oxfam.org Research Fund,oxfam.org,https://www.oxfam.org/en/research/research-grants,International NGO / Research,Global South,yes,Research grants for development-focused work; individual researchers in Global South; under-indexed as a grant-maker,high,no
395,ActionAid International Small Grants,actionaid.org,https://www.actionaid.org/research/grants,International NGO / Civil Society,Global South,yes,Civil society and individual researcher grants; women's rights and social justice; Global South focus; under-indexed,medium,no
396,FEMNET - African Women's Development and Communication Network,femnet.org,https://www.femnet.org/grants/,Civil Society Fund,Africa,yes,Pan-African women's network; small advocacy and research grants; individual women researchers and activists; under-indexed,high,no
397,Akili Dada Kenya,akilidada.org,https://www.akilidada.org/fellowship,Community Fellowship,Kenya / Africa,yes,Kenya-based; fellowships for young African women leaders; individual-eligible; active cycles; deeply under-indexed,high,no
398,Grassroots Innovation Augmentation Network (GIAN) India,gianngo.org,https://www.gianngo.org/grants/,Grassroots Innovation,India,yes,India-based; supports grassroots innovators and community researchers; individual-eligible; under-indexed; strong fit,medium,no
399,Andes Amazon Fund Small Grants,andesamazon.org,https://www.andesamazon.org/grants/,Environmental Fund,Andean-Amazon Region,yes,Small conservation grants in Andean-Amazon region; individual researchers and community groups; under-indexed,medium,no
400,Africa No Filter,africanofilter.org,https://africanofilter.org/grants/,Media / Narrative Fund,Africa,yes,Pan-African; countering harmful narratives about Africa; media and research grants for African storytellers and researchers; individual-eligible; under-indexed; strong fit,high,no
401,Kvinna till Kvinna Foundation,kvinnatillkvinna.se,https://www.kvinnatillkvinna.se/apply-for-support/,Women's Rights Fund,MENA / Caucasus / Balkans / East Africa,yes,Swedish feminist foundation; women's rights organizations in conflict/transition contexts; individual-eligible; active regional grant cycles; under-indexed,high,no
402,Mama Cash,mamacash.org,https://www.mamacash.org/apply-for-funding/,Women's Rights Fund,Global South,yes,Amsterdam-based; funds feminist and LGBTIQ+ grassroots movements; explicitly funds informal groups and individuals; deeply under-indexed; strong fit,high,no
403,Global Fund for Women,globalfundforwomen.org,https://www.globalfundforwomen.org/apply/,Women's Rights Fund,Global South,yes,Women's rights and gender justice grants; individual women activists and researchers; global with strong Global South focus; under-indexed,high,no
404,Fondo Centroamericano de Mujeres (FCAM),fcam.org,https://www.fcam.org/convocatorias/,Women's Rights Fund,Central America,yes,Central American feminist fund; individual and small group grants; women activists and researchers; deeply under-indexed,high,gap
405,African Women's Impact Fund,awif.org,https://awif.org/apply/,Women's Rights Fund,Africa,yes,Africa-based; women's entrepreneurship and research grants; individual women eligible; under-indexed,medium,gap
406,Prospera International Network of Women's Funds,prospera-inwf.org,https://prospera-inwf.org/member-funds/,Women's Rights Fund Network,Global South,unknown,International network of women's funds; member funds each have own grant cycles; strong source discovery for women's fund opportunities across Global South,high,no
407,Astraea Lesbian Foundation for Justice,astraeafoundation.org,https://www.astraeafoundation.org/grants/,LGBTIQ+ Rights Fund,Global South,yes,LGBTIQ+ rights grants in Global South; individual activists and researchers; under-indexed; strong fit for rights-focused research,high,no
408,Pollination Project,thepollinationproject.org,https://thepollinationproject.org/apply/,Micro-grant,Global,yes,Small seed grants ($1,000) for individual change-makers; explicitly individual-eligible; no affiliation required; deeply under-indexed; strong fit,high,no
409,Spark Microgrants,sparkmicrogrants.org,https://www.sparkmicrogrants.org/,Micro-grant,Sub-Saharan Africa,yes,Community-facilitated micro-grants in Sub-Saharan Africa; individual and community groups; active cycles; deeply under-indexed,high,no
410,Village Capital,vilcap.com,https://vilcap.com/programs,Innovation Fund,Global South,yes,Peer-selected entrepreneur grants; Global South focus; individual entrepreneurs; active program cycles; under-indexed,high,no
411,Shuttleworth Foundation,shuttleworthfoundation.org,https://shuttleworthfoundation.org/apply/,Innovation Fellowship,Global,yes,Open source and social innovation fellowships; individual change-makers; no affiliation required; active; under-indexed relative to importance,high,no
412,Echoing Green Black Male Achievement Fellowship,echoinggreen.org,https://echoinggreen.org/fellowship/black-male-achievement/,Social Entrepreneurship,US / Global South,yes,Individual fellowship for Black social entrepreneurs; individual-eligible,medium,no
413,Pacific Fund New Zealand,mfat.govt.nz,https://www.mfat.govt.nz/en/aid-and-development/our-work-in-the-pacific/pacific-fund/,Development Fund,Pacific Islands,yes,New Zealand government; Pacific civil society and community grants; individual-eligible; under-indexed,high,gap
414,Tonga Development Bank Grants,tdb.to,https://www.tdb.to/products/grants,Development Fund,Tonga / Pacific,unknown,Tonga national development bank; small business and development grants; Pacific-specific; deeply under-indexed,medium,gap
415,UniCredit Foundation,unicreditfoundation.org,https://www.unicreditfoundation.org/en/calls.html,Corporate Foundation,Eastern Europe / Italy,yes,Grants for social impact research; Central and Eastern European focus; individual-eligible; under-indexed,medium,no
416,Luminos Fund,luminosfund.org,https://www.luminosfund.org/,Education Fund,Ethiopia / Ghana / Lebanon / Liberia,yes,Education innovation grants in underserved contexts; individual educators and researchers; active; under-indexed,medium,no
417,ISEAL Alliance Innovation Fund,isealalliance.org,https://www.isealalliance.org/get-involved/grant-opportunities,Sustainability Standards,Global South,unknown,Sustainability standards innovation grants; check for individual researcher windows,low,no
418,Open Technology Fund (OTF),opentech.fund,https://www.opentech.fund/funds/,Digital Rights Fund,Global,yes,Digital rights and internet freedom; individual developers and researchers; active cycles; strong fit,high,no
419,Internews Earth Journalism Network Grants,earthjournalism.net,https://earthjournalism.net/grants,Environment / Media,Global South,yes,Environmental journalism grants; individual journalists and researchers; Global South focus; active cycles; under-indexed,high,no
420,Code for All Grants,codeforall.org,https://codeforall.org/grants/,Civic Tech,Global,yes,Civic technology innovation grants; individual developers and civic hackers; global but under-indexed; strong fit,medium,no
