id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag,,
16,UNCDF - UN Capital Development Fund,uncdf.org,https://www.uncdf.org/funding-windows,UN Agency,Global - LDC Focus,yes,UNCDF FinLab and innovation challenges explicitly open to individual fintech innovators in LDCs,medium,no,,
17,UN Global Pulse,unglobalpulse.org,https://www.unglobalpulse.org/,UN Agency - AI/Data,Global,no,Data partnerships primarily institutional; no individual researcher grant program,medium,no,,
18,UNODC - UN Office on Drugs and Crime,unodc.org,https://www.unodc.org/unodc/en/donors/index.html,UN Agency,Global,no,Primarily criminal justice institutions and governments; no individual research grants,low,no,,
19,Asian Development Bank,adb.org,https://www.adb.org/work-with-us/funds/financing-partnership-facilities,Regional Dev Bank,Asia-Pacific,no,Primarily sovereign and institutional financing; ADB Ventures for startups but not individual researchers,high,no,,
20,African Development Bank,afdb.org,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/fund-for-african-private-sector-assistance,Regional Dev Bank,Africa,no,Primarily sovereign and institutional financing; some civil society windows but not individual researchers,high,no,,
21,Inter-American Development Bank,iadb.org,https://iadb.org/en/how-we-are-funded/grants,Regional Dev Bank,Latin America & Caribbean,no,Primarily institutional; IDB Lab is separate entry and more accessible,high,no,,
22,IDB Lab (formerly MIF),labid.org,https://www.iadb.org/en/idblab,Regional Dev Bank - Innovation,Latin America & Caribbean,yes,Innovation accelerator arm of IDB; more accessible to individuals and startups,high,no,,
23,Islamic Development Bank,isdb.org,https://www.isdb.org/funding-opportunities,Regional Dev Bank,OIC Member States,yes,IsDB Science Prize open to individual scientists from OIC member states; STEM scholarship for individuals,high,no,,
24,European Bank for Reconstruction and Development,ebrd.com,https://www.ebrd.com/work-with-us/civil-society.html,Regional Dev Bank,Europe & Central Asia,no,"Primarily institutional; civil society grants through implementing organizations, not individuals",high,no,,
25,World Bank,worldbank.org,https://www.worldbank.org/en/programs/grants,Regional Dev Bank,Global,no,Development grants primarily to governments and institutional organizations,high,no,,
26,Asian Infrastructure Investment Bank,aiib.org,https://www.aiib.org/en/about-aiib/who-we-are/partnership/index.html,Regional Dev Bank,Asia,no,Infrastructure bank; sovereign lending focus; no individual grants,medium,no,,
27,New Development Bank,ndb.int,https://www.ndb.int/about-us/partnerships/,Regional Dev Bank,BRICS+,no,BRICS development bank; primarily sovereign lending,medium,no,,
28,Caribbean Development Bank,caribank.org,https://www.caribank.org/our-work/grants,Regional Dev Bank,Caribbean,yes,CDB has small grants for community groups and individual project leaders in Caribbean countries,medium,no,,
29,CAF - Development Bank of Latin America,caf.com,https://www.caf.com/en/topics/g/grants-and-donations/,Regional Dev Bank,Latin America,no,Development bank; primarily institutional and government lending/grants,medium,no,,
30,OPEC Fund for International Development,opecfund.org,https://opecfund.org/what-we-do/grants,Regional Dev Bank,Global - Developing Nations,no,Development financing; primarily institutional and government,medium,no,,
31,Arab Fund for Economic and Social Development,arabfund.org,https://www.arabfund.org/Default.aspx?pageId=2,Regional Dev Bank,Arab States,no,Arab development financing; primarily institutional and government,low,no,,
32,USAID,usaid.gov,https://www.usaid.gov/work-usaid/grant-contract-opportunities,Bilateral Aid,Global - USAID Partners,yes,USAID individual grants through various mechanisms; eligibility varies by program; check grants.gov for open calls,high,no,,
33,UK FCDO - Foreign Commonwealth and Development Office,gov.uk,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office/about/research,Bilateral Aid,Global - UK Partners,yes,FCDO RARP and research grants have individual PI eligibility; UK Aid Direct open to individuals,high,no,,
34,GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit,giz.de,https://www.giz.de/en/workingwithgiz/3232.html,Bilateral Aid,Global - German Partners,no,German development cooperation; primarily works through institutional partners and governments,high,no,,
35,IDRC - International Development Research Centre,idrc.ca,https://idrc.ca/en/funding,Bilateral Aid,Global - Research,yes,Canadian development research funder; explicitly funds individual researchers and teams; strong fit,high,no,,
36,DFAT - Australian Department of Foreign Affairs and Trade,dfat.gov.au,https://www.dfat.gov.au/development/grants-and-tenders,Bilateral Aid,Indo-Pacific,yes,DFAT Australia Awards Scholarships and fellowships explicitly for individuals from Indo-Pacific countries,high,no,,
37,JICA - Japan International Cooperation Agency,jica.go.jp,https://www.jica.go.jp/english/our_work/contract_grants/index.html,Bilateral Aid,Global - JICA Partners,yes,JICA Research Fellowship Program explicitly for individual researchers from developing countries,high,no,,
38,KOICA - Korea International Cooperation Agency,koica.go.kr,https://www.koica.go.kr/sites/koica_en/index.do,Bilateral Aid,Global - Korean Partners,yes,KOICA Fellowship Program explicitly for individuals from partner countries,high,no,,
39,Sida - Swedish International Development Cooperation Agency,sida.se,https://www.sida.se/en/apply-for-grants,Bilateral Aid,Global - Swedish Partners,yes,Sida Minor Field Studies grants for individual researchers; some open individual programs,high,no,,
40,Norad - Norwegian Agency for Development Cooperation,norad.no,https://www.norad.no/en/front/funding/,Bilateral Aid,Global - Norwegian Partners,yes,Norad Civil Society grants accessible to individual-led organizations; some open calls for researchers,high,no,,
41,AFD - Agence Française de Développement,afd.fr,https://www.afd.fr/en/ressources-acceder/calls-for-projects,Bilateral Aid,Global - French Partners,no,French development bank; primarily institutional and government partnerships,medium,no,,
42,SDC - Swiss Agency for Development and Cooperation,eda.admin.ch,https://www.eda.admin.ch/sdc/en/home/about-sdc/how-we-work/grants.html,Bilateral Aid,Global - Swiss Partners,yes,SDC Swiss Development Grants for civil society; some individual researcher windows,medium,no,,
43,Irish Aid,irishaid.ie,https://www.irishaid.ie/funding/,Bilateral Aid,Global - Irish Partners,yes,Irish Aid Civil Society Fund open to individuals and small organizations,medium,no,,
44,DFID / UK Research and Innovation - UKRI,ukri.org,https://www.ukri.org/opportunity/,Bilateral Aid / Research,UK + Global,yes,UKRI funds individual UK-based researchers; some global programs,high,no,,
45,Newton Fund - British Council,britishcouncil.org,https://www.britishcouncil.org/education/science/newton-fund,Bilateral Aid / Research,Global - Newton Countries,yes,Bilateral research partnerships; researcher mobility grants,high,no,,
46,NWO - Dutch Research Council,nwo.nl,https://www.nwo.nl/en/calls,National Research Council,Netherlands / Global,yes,NWO Veni/Vidi/Vici grants for individual researchers; Dutch or affiliated PIs,high,no,,
47,ANR - Agence Nationale de la Recherche,anr.fr,https://anr.fr/en/open-calls-and-preannouncements/,National Research Council,France / Global,yes,ANR individual PI grants; French or European-affiliated researchers,high,no,,
48,DFG - Deutsche Forschungsgemeinschaft,dfg.de,https://www.dfg.de/en/research_funding/programmes/index.html,National Research Council,Germany / Global,yes,Individual researcher grants; Heisenberg Program; Emmy Noether; strong fit,high,no,,
49,NRF - National Research Foundation South Africa,nrf.ac.za,https://www.nrf.ac.za/funding-opportunities/,National Research Council,South Africa,yes,South African national funder; explicitly funds individual researchers,high,no,,
50,DST - Department of Science and Technology India,dst.gov.in,https://www.dst.gov.in/scientific-programmes/scientific-engineering-research,National Research Council,India,yes,DST India individual researcher grants for India-based scientists,high,no,,
51,SERB - Science and Engineering Research Board India,serb.gov.in,https://serb.gov.in/schemes.php,National Research Council,India,yes,Individual researcher grants; MATRICS; CRG; TARE schemes; strong fit,high,no,,
52,NRF - National Research Foundation Singapore,nrf.gov.sg,https://www.nrf.gov.sg/funding-grants,National Research Council,Singapore,yes,NRF Singapore AI Singapore program includes individual research fellowships,high,no,,
53,NRF - National Research Foundation of Korea,nrf.re.kr,https://www.nrf.re.kr/eng/main,National Research Council,South Korea,yes,NRF Korea individual researcher grants for Korea-based researchers,high,no,,
54,JSPS - Japan Society for the Promotion of Science,jsps.go.jp,https://www.jsps.go.jp/english/index.html,National Research Council,Japan / Global,yes,Fellowships explicitly open to international researchers; JSPS Postdoc Fellowship; strong fit,high,no,,
55,NSTC - National Science and Technology Council Taiwan,nstc.gov.tw,https://www.nstc.gov.tw/folksonomy/detail/f7ae5d09-72db-42aa-b4e5-7c0b9f7d7d2a?l=en,National Research Council,Taiwan,yes,NSTC Taiwan individual researcher grants; some international collaboration programs,medium,no,,
56,NSTDA - National Science and Technology Development Agency Thailand,nstda.or.th,https://www.nstda.or.th/en/,National Research Council,Thailand,yes,NSTDA Thailand individual researchers in Thailand eligible; research grants,medium,no,,
57,BRIN - National Research and Innovation Agency Indonesia,brin.go.id,https://www.brin.go.id/en/funding/,National Research Council,Indonesia,yes,BRIN Indonesia individual researchers eligible; national research priority grants,medium,no,,
58,DOST - Department of Science and Technology Philippines,dost.gov.ph,https://www.dost.gov.ph/funding-opportunities.html,National Research Council,Philippines,yes,DOST Philippines individual researcher grants; Balik Scientist Program for returning researchers,medium,no,,
59,MOSTI - Ministry of Science Technology and Innovation Malaysia,mosti.gov.my,https://www.mosti.gov.my/en/,National Research Council,Malaysia,yes,MOSTI Malaysia individual researchers at Malaysian institutions eligible,medium,no,,
60,PSF - Pakistan Science Foundation,psf.gov.pk,https://www.psf.gov.pk/,National Research Council,Pakistan,yes,PSF Pakistan individual researcher grants for Pakistan-based scientists,medium,no,,
61,NSF Sri Lanka - National Science Foundation,nsf.gov.lk,https://www.nsf.gov.lk/research-grants/,National Research Council,Sri Lanka,yes,NSF Sri Lanka individual researcher grants for Sri Lanka-based scientists,medium,no,,
62,NAST Nepal - Nepal Academy of Science and Technology,nast.gov.np,https://nast.gov.np/en/services/grants-scholarships,National Research Council,Nepal,yes,Nepal-based individual researchers eligible; fellowship and grant programs,medium,gap,,
63,Vietnam MOST - Ministry of Science and Technology Vietnam,most.gov.vn,https://www.most.gov.vn/en/,National Research Council,Vietnam,no,"Vietnamese S&T ministry; primarily institutional and state-level grants, not individual PIs",medium,gap,,
64,CNPQ - Brazilian National Council for Scientific Research,cnpq.br,https://www.gov.br/cnpq/pt-br/acesso-a-informacao/acoes-e-programas,National Research Council,Brazil,yes,Strong track record funding individual researchers; international collaboration windows,high,no,,
65,ANID - Agencia Nacional de Investigación y Desarrollo Chile,anid.cl,https://anid.cl/convocatorias/,National Research Council,Chile,yes,Chilean national funder; individual and team grants; FONDECYT,high,no,,
66,CONICET - Consejo Nacional de Investigaciones Científicas Argentina,conicet.gov.ar,https://www.conicet.gov.ar/convocatorias/,National Research Council,Argentina,yes,Argentine national research council; individual researcher positions and grants,high,no,,
67,CONAHCYT - Consejo Nacional de Humanidades Ciencias y Tecnologías Mexico,conahcyt.mx,https://conahcyt.mx/convocatorias/,National Research Council,Mexico,yes,Mexican national science council; individual fellowship and grant programs,high,no,,
68,Minciencias - Ministry of Science Technology and Innovation Colombia,minciencias.gov.co,https://minciencias.gov.co/convocatorias,National Research Council,Colombia,yes,Colombian national science ministry; individual and team grants,high,no,,
69,CONCYTEC - Consejo Nacional de Ciencia Tecnología e Innovación Perú,concytec.gob.pe,https://concytec.gob.pe/convocatorias/,National Research Council,Peru,yes,Peruvian national science council; individual grants,high,no,,
70,SENESCYT - Secretaría de Educación Superior Ecuador,senescyt.gob.ec,https://www.senescyt.gob.ec/web/guest/becas-convocatorias,National Research Council,Ecuador,yes,SENESCYT Ecuador individual researcher scholarships and grants,medium,no,,
71,QNRF - Qatar National Research Fund,qnrf.org,https://www.qnrf.org/en-us/Funding/Research-Programs,National Research Council,Qatar,yes,QNRF individual PI grants for Qatar-affiliated researchers; NPRP program,high,no,,
72,KFAS - Kuwait Foundation for the Advancement of Sciences,kfas.com,https://www.kfas.com/grants,National Research Council,Kuwait,yes,KFAS individual researcher grants and prizes for Kuwait-based and Arab world researchers,high,no,,
73,TRC - The Research Council Oman,trc.gov.om,https://www.trc.gov.om/funding/,National Research Council,Oman,yes,TRC Oman individual researcher grants for Oman-based researchers,high,no,,
74,Jordan SRSF - Scientific Research Support Fund,srsf.gov.jo,https://www.srsf.gov.jo/En/Pages/FundingOpportunities.aspx,National Research Council,Jordan,yes,SRSF Jordan individual researcher grants for Jordan-based researchers,medium,no,,
75,CNRST - Centre National pour la Recherche Scientifique et Technique Morocco,cnrst.ma,https://www.cnrst.ma/index.php/fr/appels-a-projets,National Research Council,Morocco,yes,Morocco-affiliated individual researchers/academics eligible; French and Arabic primary,medium,gap,,
76,Egyptian STIFA - Science Technology and Innovation Funding Authority,stifa.sci.eg,https://stifa.sci.eg/,National Research Council,Egypt,yes,Egypt-affiliated individual researchers eligible; primarily Egyptian-based PIs,medium,gap,,
77,Kenya NRF - National Research Fund,researchfund.go.ke,https://www.researchfund.go.ke/grants,National Research Council,Kenya,yes,Kenya-based individual researchers eligible; national research grants,medium,gap,,
78,NACOSTI Kenya - National Commission for Science Technology and Innovation,nacosti.go.ke,https://www.nacosti.go.ke/licensing-and-funding/,National Research Council,Kenya,yes,Kenya-based individual researchers eligible; licensing and research grants,medium,gap,,
79,NRF Nigeria - National Research Fund via TETFund,tetfund.gov.ng,https://www.tetfund.gov.ng/index.php/research-and-development/ibr,National Research Council,Nigeria,no,IBR program requires TETFund-affiliated institution; not directly accessible to unaffiliated individuals,medium,gap,,
80,Uganda UNCST - National Council for Science and Technology,uncst.go.ug,https://www.uncst.go.ug/research-grants/,National Research Council,Uganda,yes,Uganda-based individual researchers eligible; science and technology grants,medium,gap,,
81,Tanzania COSTECH - Commission for Science and Technology,costech.or.tz,https://www.costech.or.tz/grants/,National Research Council,Tanzania,yes,Tanzania-based individual researchers eligible; research grants for national researchers,medium,gap,,
82,Rwanda MINEDUC / RDB Research,rdb.rw,https://www.rdb.rw/home/key-sectors/innovation-technology/,National Research Council,Rwanda,no,RDB primarily business and investment focus; not direct individual research grants,medium,gap,,
83,Ethiopia MINT - Ministry of Innovation and Technology,mint.gov.et,https://www.mint.gov.et/,National Research Council,Ethiopia,no,Primarily regulatory ministry; very limited direct grant program for individuals,low,gap,,
84,Ghana Research and Innovation Fund,mesti.gov.gh,https://www.mesti.gov.gh/research-innovation-fund/,National Research Council,Ghana,yes,Ghana-based individual researchers eligible; Research and Innovation Fund,medium,gap,,
85,NCST Zambia - National Council for Scientific Research,nstc.gov.zm,https://www.nstc.gov.zm/,National Research Council,Zambia,yes,Zambia-based individual researchers eligible; national research grants,low,gap,,
86,NCR Mozambique,mctes.gov.mz,https://www.mctes.gov.mz/,National Research Council,Mozambique,yes,Mozambique-based researchers eligible; Portuguese-primary portal,low,gap,,
87,Ministry of Science and Technology Bangladesh,most.gov.bd,https://most.gov.bd/site/page/fellowship-scholarship,National Research Council,Bangladesh,yes,Bangladesh-based researchers eligible; fellowship and research grant programs,medium,gap,,
88,Polish NCN - National Science Centre,ncn.gov.pl,https://www.ncn.gov.pl/en/finansowanie-nauki/programy-i-konkursy,National Research Council,Poland,yes,Polish national funder; MINIATURA and OPUS open to individuals; international collaboration windows,high,no,,
89,Czech GACR - Grant Agency of the Czech Republic,gacr.cz,https://gacr.cz/en/,National Research Council,Czech Republic,yes,Czech research funder; individual researcher grants,high,no,,
90,Slovak APVV - Slovak Research and Development Agency,apvv.sk,https://www.apvv.sk/en.html,National Research Council,Slovakia,yes,Slovak research agency; bilateral projects,medium,no,,
91,Georgian GNSF - Georgian National Science Foundation,gnsf.ge,https://rustaveli.org.ge/index.php/en/,National Research Council,Georgia,yes,Georgian Shota Rustaveli Foundation; individual researcher grants; international programs,medium,gap,,
92,Armenian Science Committee,sci.am,https://www.sci.am/en/,National Research Council,Armenia,yes,Armenian-based individual researchers eligible; individual PI grants,medium,gap,,
93,Mozilla Foundation,foundation.mozilla.org,https://foundation.mozilla.org/en/what-we-fund/,Global Philanthropic,Global,yes,Tech fellowship and grant programs; Mozilla Technology Fund; individual-eligible; strong fit,high,no,,
94,Open Society Foundations,opensocietyfoundations.org,https://www.opensocietyfoundations.org/grants,Global Philanthropic,Global,yes,OSF individual fellowships through Soros Fellowship; some open call components,high,no,,
95,Wellcome Trust,wellcome.org,https://wellcome.org/grant-funding,Global Philanthropic,Global,yes,Health research funding; open to individual researchers; Discovery Awards,high,no,,
96,Rockefeller Foundation,rockefellerfoundation.org,https://www.rockefellerfoundation.org/grants/,Global Philanthropic,Global,no,Primarily institutional; Bellagio residency is separate entry; no open individual grant calls,high,no,,
97,Ford Foundation,fordfoundation.org,https://www.fordfoundation.org/work/our-grants/,Global Philanthropic,Global,no,No direct individual applications; all grants through organizations,high,no,,
98,MacArthur Foundation,macfound.org,https://www.macfound.org/programs/,Global Philanthropic,Global,no,Primarily institutional; Fellows Program by nomination only; 100&Change separate entry,high,no,,
99,Omidyar Network,omidyar.com,https://omidyar.com/our-approach/,Global Philanthropic,Global,no,No open grant calls; proactive funding to organizations only,high,no,,
100,Hewlett Foundation,hewlett.org,https://hewlett.org/grants/,Global Philanthropic,Global,no,Primarily institutional; no open individual applications,high,no,,
101,Luminate,luminategroup.com,https://luminategroup.com/funding,Global Philanthropic,Global,no,Civic tech and transparency; primarily organizational partners,high,no,,
102,Patrick J. McGovern Foundation,mcgovern.org,https://www.mcgovern.org/apply/,Global Philanthropic,Global,no,Relationship-driven; limited open calls; primarily organizational,high,no,,
103,Schmidt Sciences,schmidtsciences.org,https://www.schmidtsciences.org/funding-opportunities/,Global Philanthropic,Global,yes,AI in science fellowship; Schmidt AI in Science Fellows program; individual-eligible,high,no,,
104,Skoll Foundation,skoll.org,https://skoll.org/about/how-we-work/,Global Philanthropic,Global,no,"Social entrepreneurship; primarily nomination/award, not open individual grants",high,no,,
105,Oak Foundation,oakfnd.org,https://oakfnd.org/what-we-fund/,Global Philanthropic,Global,no,Primarily established organizations; no open individual applications,medium,no,,
106,Open Philanthropy,openphilanthropy.org,https://www.openphilanthropy.org/how-to-apply/,Global Philanthropic,Global,yes,CDTF and Capacity Building open to individuals; rolling; strong fit,high,no,,
107,Sloan Foundation,sloan.org,https://sloan.org/grants/apply,Global Philanthropic,Global,no,STEM and economics; primarily institutional PI grants through universities,medium,no,,
108,Carnegie Corporation of New York,carnegie.org,https://www.carnegie.org/grants/,Global Philanthropic,Global,no,Primarily institutional; invitation-only strategy,medium,no,,
109,Long-Term Future Fund (LTFF),funds.effectivealtruism.org,https://funds.effectivealtruism.org/funds/far-future,EA-Adjacent,Global,yes,Explicitly funds individuals; fast; no affiliation required; rolling; strong fit,high,no,,
110,EA Infrastructure Fund,funds.effectivealtruism.org,https://funds.effectivealtruism.org/funds/ea-community,EA-Adjacent,Global,yes,EA community building and infrastructure; individual-eligible; rolling,high,no,,
111,Survival and Flourishing Fund,survivalandflourishing.fund,https://survivalandflourishing.fund/,EA-Adjacent,Global,yes,Existential risk and AI safety; individual-eligible; semi-annual regrants,high,no,,
112,Manifund - Regrants,manifund.org,https://manifund.org/,EA-Adjacent,Global,yes,Fast regrant platform; individual-eligible; $1,000–$50,000 range; strong fit,no,no
113,Future of Life Institute,futureoflife.org,https://futureoflife.org/grant-programs/,AI Safety,Global,yes,AI safety and existential risk grants; individual-eligible components; strong fit,high,no,,
114,Apart Research,apartresearch.com,https://www.apartresearch.com/grants,AI Safety - Research,Global,yes,Sprint and hackathon grants; individual-eligible; AI safety focus; up to $2,000,high,,
115,Center for AI Safety,safe.ai,https://safe.ai/,AI Safety,Global,yes,Center for AI Safety has individual researcher grant and fellowship programs,high,no,,
116,Alignment Research Center,alignment.org,https://www.alignment.org/,AI Safety,Global,no,ARC primarily institutional research; no open individual grant program,medium,no,,
117,Emergent Ventures,mercatus.org,https://www.mercatus.org/emergent-ventures,Fast Grants,Global,yes,Fast individual grants; $5,000–$100,000; low bureaucracy; strong fit,no,no
118,Horizon Europe,ec.europa.eu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,EU Research,EU + Associated Countries,yes,European Research Council grants open to individual PIs; ERC Starting/Consolidator/Advanced,high,no,,
119,ERC - European Research Council,erc.europa.eu,https://erc.europa.eu/apply-grant,EU Research,EU + Associated Countries,yes,Individual researcher excellence grants; Starting/Consolidator/Advanced/Synergy,high,no,,
120,Marie Skłodowska-Curie Actions,ec.europa.eu,https://marie-sklodowska-curie-actions.ec.europa.eu/,EU Research,EU + Global,yes,Individual researcher mobility fellowships; open globally for postdoctoral fellows; strong fit,high,no,,
121,Alexander von Humboldt Foundation,humboldt-foundation.de,https://www.humboldt-foundation.de/en/apply,Academic Fellowship,Global,yes,Individual researcher fellowships; international scholars welcome; strong fit,high,no,,
122,Fulbright Program,fulbright.gov,https://www.fulbright.gov/,Academic Fellowship,Global,yes,US government individual exchange fellowship; 160+ country programs; strong fit,high,no,,
123,British Academy,britac.ac.uk,https://www.thebritishacademy.ac.uk/funding/,Academic Fellowship,UK / Global,yes,Individual researcher grants; international programs; Newton International Fellowships,high,no,,
124,Leverhulme Trust,leverhulme.ac.uk,https://www.leverhulme.ac.uk/funding/,Academic Fellowship,UK / Global,yes,Individual researcher funding; Leverhulme Early Career Fellowships,high,no,,
125,DAAD - German Academic Exchange Service,daad.de,https://www.daad.de/en/find-funding/,Academic Fellowship,Global,yes,Individual mobility and research fellowships; widely accessible globally; strong fit,high,no,,
126,Japan Foundation,jpf.go.jp,https://www.jpf.go.jp/e/program/index.html,Cultural Diplomacy / Research,Global,yes,Cultural exchange and Japan-related research; individual-eligible,high,no,,
127,Korea Foundation,kf.or.kr,https://www.kf.or.kr/kfen/pgm/pPgmList.do,Cultural Diplomacy / Research,Global,yes,Korea-related research fellowships; individual-eligible,medium,no,,
128,Sasakawa Peace Foundation,spf.org,https://www.spf.org/en/programs/grants.html,Regional Philanthropic,Asia-Pacific,no,Sasakawa Peace Foundation primarily funds organizations and institutional projects,medium,no,,
129,Nippon Foundation,nippon-foundation.or.jp,https://www.nippon-foundation.or.jp/en/grant_application/,Regional Philanthropic,Asia-Pacific,yes,Grants for ocean, disability, and social development; some individual-accessible programs,no,no
130,Aga Khan Foundation,akdn.org,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,Regional Philanthropic,Global South,yes,International Scholarship Programme for postgraduate students from developing countries; individual-eligible,high,no,,
131,Asia Foundation,asiafoundation.org,https://asiafoundation.org/what-we-do/grants/,Regional Philanthropic,Asia,no,Asia Foundation primarily institutional civil society grants,high,no,,
132,East-West Center,eastwestcenter.org,https://www.eastwestcenter.org/research/fellowships-and-grants,Regional Philanthropic,Asia-Pacific,yes,US-Asia Pacific research fellowships; individual-eligible; strong fit,high,no,,
133,Mastercard Foundation,mastercardfdn.org,https://mastercardfdn.org/funding/,Regional Philanthropic,Africa,no,Mastercard Foundation primarily funds through institutional partners (universities for Scholars Program),high,no,,
134,Tony Elumelu Foundation,tonyelumelufoundation.org,https://www.tonyelumelufoundation.org/tef-program/apply/,Regional Philanthropic,Africa,yes,African entrepreneurship; individual-eligible; $5,000 seed capital; strong fit,high,,
135,Mo Ibrahim Foundation,mo.ibrahim.foundation,https://mo.ibrahim.foundation/,Regional Philanthropic,Africa,yes,Ibrahim Prize (nomination-only) and Ibrahim Fellowship; individual-eligible components,high,no,,
136,Tata Trusts,tatatrusts.org,https://www.tatatrusts.org/our-work/grants,Regional Philanthropic,India,no,Tata Trusts primarily institutional; limited individual fellowship components,high,no,,
137,Azim Premji Foundation,azimpremjifoundation.org,https://azimpremjiuniversity.edu.in/research-grants,Regional Philanthropic,India,no,Azim Premji Foundation primarily institutional education organizations,medium,no,,
138,J-PAL - Abdul Latif Jameel Poverty Action Lab,povertyactionlab.org,https://www.povertyactionlab.org/funding,Research Network,Global,yes,Research funding for affiliated and independent researchers; individual PIs eligible,high,no,,
139,BRAC,brac.net,https://www.brac.net/research/,NGO / Research,South Asia + Africa,no,BRAC research partnerships primarily institutional; not open individual grants,medium,no,,
140,GPAI - Global Partnership on AI,gpai.ai,https://gpai.ai/projects/,AI Governance,Global,no,GPAI intergovernmental body; project funding through national delegations and institutions,high,no,,
141,OECD.AI Policy Observatory,oecd.ai,https://oecd.ai/en/,AI Governance,Global,no,OECD.AI data observatory; not a grant-making body,high,no,,
142,Partnership on AI,partnershiponai.org,https://partnershiponai.org/fellowships/,AI Governance,Global,yes,Fellows program; individual-eligible; AI safety and governance focus; strong fit,high,no,,
143,AI Safety Fund,aisafetyfund.org,https://www.aisafetyfund.org/,AI Safety,Global,yes,AI Safety Fund open grants program for individual AI safety researchers; check current program status,medium,no,,
144,Google.org,google.org,https://www.google.org/our-work/,Tech Philanthropic,Global,yes,Google.org Fellows program and AI for Social Good grants open to individuals,high,no,,
145,Microsoft AI for Good Lab,microsoft.com,https://www.microsoft.com/en-us/ai/ai-for-good,Tech Philanthropic,Global,yes,Microsoft AI for Good AI for Health research grants open to individual researchers,high,no,,
146,Meta AI for Social Impact,meta.com,https://socialimpact.facebook.com/,Tech Philanthropic,Global,no,Meta Social Impact primarily NGO and nonprofit partnerships; not individual researchers,medium,no,,
147,Novo Nordisk Foundation,novonordiskfonden.dk,https://novonordiskfonden.dk/en/grants/,Health Research,Global,yes,Health and sustainability research; individual researcher grants; strong in Nordic/Europe,high,no,,
148,Bloomberg Philanthropies,bloomberg.org,https://www.bloomberg.org/public-health/,Global Philanthropic,Global,no,Bloomberg Philanthropies primarily institutional organizations; no individual grants,medium,no,,
149,Gavi - Vaccine Alliance,gavi.org,https://www.gavi.org/investing-gavi/innovative-financing,Health / Development,Global,no,Gavi primarily governments and health institutions; no individual grants,medium,no,,
150,Gates Foundation - Grand Challenges,grandchallenges.org,https://grandchallenges.org/explorations,Global Philanthropic,Global,yes,Grand Challenges Explorations open to individuals; strong fit; $100,000 seed grants,high,,
